Job,Total Compensation
Animal Control Officer,48799.01
Sheriff's Cadet,72026.3
Nurses Staffing Assistant,92873.87
Lighting Fixture Maint Worker,85087.62
Electronic Maintenance Tech,173318.09
Institutional Police Officer,109047.73
Airports Communications Sprv,132416.66
Sergeant 3,211499.19
Transit Operator,68601.02
Senior Clerk Typist,94808.95
Manager II,194280.51
Nursing Assistant,74249.58
Training Officer,73327.86
Custodian,88111.37
Food Service Worker,47188.53
Lieutenant (Police Department),52532.31
Electrical Transit System Mech,198798.16
Electrical Inspector,30510.52
Attorney (Civil/Criminal),222090.74
Junior Management Assistant,31051.54
Disease Control Investigator,30142.02
Senior Eligibility Worker,83826.84
Eligibility Worker,90961.55
Community Police Services Aide,94149.56
Pharmacist,259152.52
Senior Building Inspector,171783.75
Parking Control Officer,111602.36
IS Business Analyst-Principal,178453.91
Special Nurse,80381.86
Park Patrol Officer,74587.97
Planner 4-Environmental Review,173449.75
Asst Engr,54385.86
Transit Operator,123099.6
Sergeant 3,232926.89
Eligibility Worker Supervisor,33212.42
Custodian,107022.52
EMT/Paramedic/Firefighter,76942.79
Transit Operator,51062.68
Electronic Maintenance Tech,180608.65
Firefighter,34266.15
Planner 2,114332.98
Firefighter,179159.74
Senior Deputy Sheriff,140126.4
Truck Driver,128565.73
Registered Nurse,96224.19
Registered Nurse,161965.52
Firefighter,218817.79
Customer Service Agent,75294.68
Manager IV,206719.22
Secretary 1,89125.38
Food Service Worker,39615.85
Senior Administrative Analyst,143104.02
Food Service Supervisor,80507.87
Janitorial Services Supervisor,112759.92
Custodian,87475.07
Community Development Spec,118490.89
Manager V,36068.24
Transit Supervisor,206788.98
Registered Nurse,176990.87
Senior Physical Therapist,148878.75
Nursing Supervisor,27306.08
Clinical Pharmacist,187794.07
Nursing Assistant,107589.84
"Chf Stationary Eng, Sew Plant",166413.58
Registered Nurse,159425.21
Special Nurse,58972.3
Community Development Spec,60704.04
PS Aide To Prof,38270.17
Deputy Sheriff,169742.68
Electrical Inspector,185229.55
Clerk,87254.73
Payroll Clerk,17450.44
IS Prg Analyst-Principal,106533.48
Management Assistant,117081.38
Senior Eligibility Worker,103176.15
IT Operations Support Admin IV,184398.46
Janitorial Svcs Asst Sprv,120756.65
Police Officer 3,176583.33
Attorney (Civil/Criminal),150767.67
Asst Harbormaster (OCII),18400.62
Stationary Engineer,132796.35
Transit Operator,128648.99
Police Officer 2,194214.74
Transit Operator,59027.21
Eng/Arch/Landscape Arch Sr,206098.89
Community Police Services Aide,106689.18
Recreation Leader,15584.6
Park Section Supervisor,122704.49
Deputy Court Clerk II,113592.59
Senior Eligibility Worker,70437.47
Electrician,145056.16
Assoc Engineer,92765.0
Principal Clerk,92642.06
IS Engineer-Senior,190579.17
Senior Account Clerk,99953.11
Transit Planner III,148922.0
Registered Nurse,123267.13
Epidemiologist 1,47840.97
Account Clerk,65554.55
Asst Engr,129799.07
Firefighter,169766.71
Manager II,26135.99
Accountant II,32107.07
Park Section Supervisor,139165.92
Library Page,31840.0
Manager II,121988.96
Automotive Service Worker,97168.57
Police Officer 3,207847.41
Nutritionist,112817.03
Chemist I/II,121692.89
Personnel Analyst,108268.75
Nurse Practitioner,38253.57
Community Development Spec,109907.19
Library Page,37018.61
Custodian,88381.37
Truck Driver,127308.05
Automotive Mechanic,130032.56
Transit Operator,113031.96
Emp & Training Spec 2,120367.52
Police Officer,126744.8
Survey Assistant I,25132.22
IT Operations Support Admn III,59962.96
Plumbing Inspector,165013.79
Health Worker 2,93071.21
Deputy Sheriff,159037.9
Special Nurse,61648.48
Transit Operator,138715.81
Stationary Engineer,144199.47
Asr-Office Assistant,75196.96
Patient Care Assistant,70674.7
Deputy Sheriff,162245.11
Police Officer,187588.91
Transit Operator,130200.54
Transit Operator,132718.06
Manager I,179567.41
Library Page,46918.25
Assistant Storekeeper,78330.51
Manager II,129286.69
Protective Services Worker,133330.08
Senior Collections Officer,82187.29
"Stationary Eng, Sewage Plant",148377.98
EMT/Paramedic/Firefighter,190840.27
Firefighter,202733.65
Clerk,48855.37
Junior Management Assistant,33549.76
Biologist I/II,147049.7
Health Worker 2,117230.22
Police Officer,125560.75
Library Page,29698.37
Accountant II,82180.91
Physician Specialist,68238.34
Registered Nurse,216926.71
Firefighter,177852.69
Snr Permit And Citation Clerk,93461.34
Health Worker 3,74799.49
Apprentice Gardener,63519.63
Utility Specialist,176521.16
Dep Dir IV,270427.46
Registered Nurse,147111.0
IT Operations Support Admin IV,145567.95
Nurse Manager,244372.03
Nurse Practitioner,218059.67
Public Relations Mgr,181378.92
Nursing Supervisor,85683.33
Attorney (Civil/Criminal),58445.97
Senior Clerk Typist,92805.35
General Laborer,78013.69
Manager I,115613.2
Police Officer 2,205334.24
Utility Plumber,145801.06
Licensed Vocational Nurse,123232.31
Criminalist II,157626.31
Nurse Manager,263303.17
Pool Lifeguard,15989.71
Stdntdsgn Train2/Arch/Eng/Plng,15882.86
Patient Care Assistant,51080.42
Pr Administrative Analyst,148669.89
Dep Dir I,176213.53
General Laborer,71418.15
Deputy Sheriff (SFERS),122137.02
Porter,93385.56
Manager VI,234806.16
Electrical Transit System Mech,158080.32
Senior Personnel Analyst,149762.91
Registered Nurse,155639.03
Engineer,185218.66
Manager III,195533.05
Transit Operator,74344.46
Deputy Sheriff,168567.62
Police Officer 3,197206.14
Health Worker 2,82701.38
IT Operations Support Admn III,113614.24
Asst Engr,82267.78
Lieutenant 3,232081.59
"Administrator, Department Of Public Heal",391756.1
Manager I,180380.73
Senior Eligibility Worker,140593.55
Senior Clerk Typist,92760.4
Food Service Worker,86527.03
Registered Nurse,198176.66
Biologist I/II,133522.34
Manager V,225121.09
Public Service Trainee,18701.44
Custodian,84206.79
Airport Electrician,172526.1
Sheriff's Sergeant,177250.92
Automotive Mechanic,173375.3
Senior Physician Specialist,325992.9
Public Safetycomm Disp,149673.27
Police Officer 2,177695.46
Transit Operator,112250.58
General Laborer,103383.39
Public Svc Aide-Public Works,17556.36
Cashier 2,92184.71
Dep Dir II,217072.94
Nurse Manager,115264.18
Attorney (Civil/Criminal),141171.32
Senior Eligibility Worker,111793.16
Patient Care Assistant,122544.94
Aquatics Facility Asst Supv,62582.88
Deputy Sheriff,149121.46
Publ Svc Aide-Asst To Prof,14724.13
"Lieutenant, Fire Suppression",286453.3
Senior Electrical Inpsector,199366.02
Eligibility Worker Supervisor,142304.29
Patient Care Assistant,95262.85
Automotive Machinist,131030.92
Library Technical Assistant 1,107706.46
Automotive Mechanic,117518.42
Deputy Sheriff,16919.88
Assoc Engineer,52008.14
Librarian 1,75756.76
Storekeeper,80594.01
Sergeant 2,213217.01
IS Business Analyst-Senior,31863.24
Sheriff's Cadet,89300.55
Custodian,21896.25
Construction Inspector,142320.32
Carpenter,128093.98
Assistant Retirement Analyst,116344.53
Senior Stationary Engineer,120317.42
Registered Nurse,72577.39
Transit Operator,56801.13
Registered Nurse,161875.55
Public Relations Officer,136176.06
Patient Care Assistant,81202.18
Senior Clerk Typist,94500.37
Senior Eligibility Worker,96421.68
Medical Evaluations Assistant,74228.53
"Aprntcstatnry Eng,Wtrtreatplnt",115242.07
Special Nurse,94387.24
Transit Operator,137372.52
Police Officer 3,212734.67
Custodian,20954.17
Sr Community Dev Spec 2,150485.41
Asst Engr,22976.7
Sergeant 2,197747.56
Medical Social Worker,43331.1
Senior Eligibility Worker,113655.16
Court Reporter,158090.51
Automotive Service Worker,102164.85
Transit Operator,100622.15
EMT/Paramedic/Firefighter,256076.78
Junior Administrative Analyst,74358.31
Court Computer Sys Manager,140161.15
Transit Operator,66140.09
Senior Administrative Analyst,45706.89
HSA Social Worker,115568.13
Special Nurse,20788.98
Utility Specialist,130235.54
Transit Operator,71304.19
Clerk Typist,40078.22
Carpenter,118547.07
Research Assistant,106980.9
Assistant Storekeeper,79084.76
Special Nurse,37053.12
Nutritionist,134783.25
Nurse Practitioner,243137.36
Safety Analyst,46344.7
Recreation Leader,17548.08
Nurse Practitioner,248167.61
Planner 3,14664.15
Sergeant 3,234352.9
Deputy Court Clerk III,113807.89
Planner 2,28856.98
Transit Car Cleaner,109083.48
Police Officer 3,159038.52
Senior Collections Officer,111125.05
Payroll Clerk,115208.75
Senior Estate Investigator,128363.33
Special Assistant 10,49532.29
Senior Clerk,31496.17
Parking Control Officer,115193.64
Patient Care Assistant,101419.18
Automotive Mechanic,99403.19
Transit Operator,72607.33
"Lieutenant, Fire Suppression",199093.84
Home Health Aide,38993.58
Accountant III,122458.53
Transit Traffic Checker,34001.48
EEO Programs Specialist,75442.98
Transit Operator,90327.0
Junior Management Assistant,46746.54
Dental Aide,82276.15
Food Service Worker,44657.73
Sprv Adult Probation Ofc,149142.13
Patient Care Assistant,80703.14
Registered Nurse,216468.09
Registered Nurse,203498.32
Police Officer,44168.33
Senior Clerk,91806.16
Biologist I/II,93675.95
Deputy Court Clerk III,130321.0
Nurse Practitioner,231310.63
Employee Assistance Counselor,76695.72
Deputy Sheriff,133844.87
Firefighter,174006.74
Manager IV,213671.17
Transit Operator,126769.41
Accountant Intern,26688.63
Parts Storekeeper,111734.92
Museum Guard,104697.07
Junior Administrative Analyst,77307.14
Manager II,198253.47
Public Safetycomm Disp,130602.08
Engineer,155392.02
Senior Administrative Analyst,124226.5
Community Police Services Aide,110599.88
Registered Nurse,178510.81
Transit Operator,119793.2
Firefighter,201413.55
Police Officer,115381.3
Public Svc Aide-Public Works,33469.53
Dietitian,70454.42
Registered Nurse,206158.41
Child Care Specialist,68040.67
Stationary Engineer,132311.45
Library Page,39568.28
Clerk,37375.69
Licensed Vocational Nurse,55169.13
Communications Dispatcher 1,13177.24
IS Business Analyst-Senior,60027.76
Asst Engr,141599.33
"Lieutenant, Fire Suppression",252004.63
Health Worker 3,104682.35
Librarian 2,136831.95
Manager I,143191.79
Parking Control Officer,91007.3
Secretary 2,100927.72
Program Specialist,117828.89
Police Officer 3,185300.21
Firefighter,186592.69
Recreation Coordinator,94225.33
PS Aide To Prof,14550.23
Police Officer,154240.04
Program Specialist,122213.83
Secretary 2,100115.73
Registered Nurse,198192.11
Transit Supervisor,133840.16
Public Service Trainee,30579.46
Manager VIII,310440.76
Transit Supervisor,141290.09
Police Officer 2,180741.06
Morgue Attendant,22504.1
Prnpl Admin Analyst II,177682.82
Utility Plumber Apprentice,31951.95
Recreation Leader,21626.1
General Utility Mechanic,123865.92
Custodian,95403.49
Police Officer 3,189319.08
Clerk,69647.85
Environmental Health Inspector,39836.16
Junior Management Assistant,103881.23
Police Officer,150173.98
"Stdntdsgntrain1, Arch/Eng/Plng",17707.94
Registered Nurse,193958.72
Arborist Technician,103967.9
Pr Administrative Analyst,122377.17
Senior Clerk,26718.99
Electronic Maintenance Tech,177049.78
Manager VIII,291358.53
Clerk Typist,88962.77
"Assoc Musm Cnsrvt, AAM",123173.23
Protective Services Worker,140201.72
Industrial Hygienist,164661.76
Porter,86929.09
Firefighter,180000.23
Sr Transit Information Clerk,117609.71
Senior Eligibility Worker,109523.98
Nursing Assistant,131282.72
Utility Plumber Supervisor 1,198290.19
Transit Operator,116392.56
Nurse Midwife,22635.39
Plumber,185071.58
Special Nurse,81418.59
Senior Administrative Analyst,143737.01
Principal Account Clerk,111754.66
Transit Manager 1,149519.74
Custodian,87305.6
Medical Evaluations Assistant,84580.57
Medical Records Technician,99007.99
Water Service Inspector,144750.75
Senior Eligibility Worker,113914.07
Medical Records Clerk,32020.04
Assoc Engineer,30766.01
Patient Care Assistant,125310.01
Sup Welfare Fraud Investigator,151581.98
Assoc Engineer,167274.42
Asst Chf Of Dept (Fire Dept),362365.96
Street Inspector,115248.23
Senior Clerk,21688.24
Registered Nurse,134929.85
Transit Supervisor,33690.84
Manager I,32317.3
Animal Keeper,64363.87
Fire Safety Inspector 2,172074.75
Police Officer 2,124209.64
Fare Collections Receiver,79885.88
Transit Operator,66866.21
Chef,116677.58
Registered Nurse,201705.08
Legal Secretary 1,114211.99
Physical Therapist,156757.72
Transit Operator,108031.93
Sergeant 3,206114.3
Library Page,31746.73
Crafts Instructor,56948.77
Watershed Keeper,99672.87
"Property Manager, Port",147961.99
Manager II,182282.09
Licensed Vocational Nurse,100245.64
Transit Operator,142310.75
Chief Surveyor,144871.06
Police Officer 2,217762.36
IS Programmer Analyst-Senior,97073.98
Special Nurse,13263.33
Nurse Manager,45283.79
Deputy Sheriff,171385.88
Cashier 1,20483.04
Asr-Office Assistant,26912.92
Deputy Court Clerk III,132148.93
Transit Operator,108480.84
Mayoral Staff XVII,237961.21
Police Officer 2,162684.34
Pr Administrative Analyst,163682.39
Assistant Retirement Analyst,86611.55
Patient Care Assistant,86574.11
Integrated Pest Mgmt Specialst,116013.84
Registered Nurse,153119.3
Police Officer 3,103408.53
"Stationary Eng, Sewage Plant",63989.6
Nurse Practitioner,135784.74
Senior Administrative Analyst,60340.96
Registered Nurse,198508.76
Employment & Training Spec 1,48505.04
Eligibility Worker Supervisor,151375.35
Transit Supervisor,12203.48
Manager III,186189.12
Custodian,61444.66
Museum Guard,94580.95
Special Nurse,79680.76
Power Generation Technician 2,122779.94
Special Nurse,24815.11
"Stdntdsgntrain1, Arch/Eng/Plng",15382.88
Public Safetycomm Supv,149850.07
Special Nurse,19749.33
PS Aide Health Services,51378.09
Special Nurse,72930.53
Transit Operator,117383.82
Electrical Transit System Mech,156779.86
Assoc Engineer,133416.17
Custodial Assistant Supervisor,100654.01
Clerk,70141.04
Medical Social Worker,111583.65
Senior Account Clerk,99124.56
Electrician,54861.18
Principal Clerk,78685.84
Health Worker 3,93163.32
Transit Operator,116083.48
Senior Administrative Analyst,97088.47
Deputy Sheriff,210282.8
Librarian 2,134256.43
Automotive Service Worker,45067.48
Physical Therapist,156429.13
Firefighter,209551.37
Medical Evaluations Assistant,92561.59
Senior Clerk,86478.43
Pharmacist,203980.71
Deputy Sheriff,156793.18
Firefighter,215967.35
Museum Guard,21592.48
Airport Security ID Technician,44308.49
Food Service Worker,85047.53
Junior Administrative Analyst,15413.24
Permit Technician I,47770.94
Patient Care Assistant,106460.31
Senior Clerk Typist,43114.37
Deputy Court Clerk III,131655.21
Electronic Maintenance Tech,162387.91
Senior Eligibility Worker,109756.96
IS Engineer-Principal,217729.69
Special Nurse,24850.68
Power Generation Supervisor,121189.43
Automotive Service Worker,110792.05
Attorney (Civil/Criminal),179397.2
Asr Senior Office Specialist,23522.03
Curator 3,119263.93
Recreation Leader,15689.94
X-Ray Laboratory Aide,51540.18
Police Officer,61971.58
Police Officer 2,172214.62
Diagnostic Imaging Tech II,176865.67
Special Nurse,38059.5
Registered Nurse,173369.16
Psychiatric Social Worker,107501.18
Food Service Mgr Administrator,27523.66
Registered Nurse,184362.73
Deputy Sheriff,185021.66
Police Officer 3,127453.41
Automotive Machinist,120983.69
EMT/Paramedic/Firefighter,294240.63
Registered Nurse,200834.99
Transit Operator,106761.87
Admission Attendant,81145.09
Transit Operator,67600.59
Dep Dir II,198438.24
Transit Operator,142237.97
Library Technical Assistant 1,108755.59
Firefighter,179737.95
Planner 3,148875.68
Senior Eligibility Worker,118238.23
Sr Community Devl Spc 1,118835.84
Health Care Analyst,28729.28
Custodian,94813.94
Social Work Specialist,124030.33
Payroll Clerk,101477.7
Library Page,42592.13
Transit Operator,112417.0
Laboratory Technician II,13555.13
Police Officer 3,192258.6
Building Inspector,27660.44
Registered Nurse,180102.58
Porter,56568.83
Senior Account Clerk,52203.39
Emp & Training Spec 2,67153.48
Victim/Witness Investigator 3,133682.59
Carpenter,117696.2
Eligibility Worker Supervisor,130634.86
Cashier 2,79027.7
IT Operations Support Admn III,125407.27
Customer Service Agent Supv,120045.22
Engineer,182592.48
Senior Account Clerk,99445.55
Park Section Supervisor,119760.83
"Stdntdsgntrain1, Arch/Eng/Plng",13995.0
Registered Nurse,112416.62
Transit Operator,122875.55
Eligibility Worker,101174.75
Special Nurse,38762.53
EMT/Paramedic/Firefighter,49622.16
General Laborer,17408.61
Sr Payroll & Personnel Clerk,112102.6
Deputy Sheriff,169523.1
Sheriff's Captain,234797.2
Communications Systems Tech,24936.68
Pr Administrative Analyst,87461.25
Registered Nurse,186693.78
Nurse Practitioner,198001.41
Health Program Coordinator 2,129271.87
Electronic Maintenance Tech,27198.99
Registered Nurse,167736.8
Police Officer 3,190573.63
Protective Services Worker,65177.08
Museum Guard,28031.37
Welder,134137.67
Automotive Service Worker,83853.89
Manager IV,209179.81
IS Project Director,194475.81
Electrical Transit System Mech,166622.58
Senior Administrative Analyst,132165.84
Psychiatric Social Worker,133329.36
Medical Evaluations Assistant,85702.14
Speech Pathologist,62060.27
Special Nurse,26844.66
Psychiatric Social Worker,105241.91
Transit Operator,136646.21
Asst Engr,148059.64
Firefighter,181073.32
Clinical Pharmacist,223822.6
Transit Operator,64850.53
Automotive Machinist,127502.85
Sergeant 3,209257.16
Senior Food Service Worker,89521.08
Management Assistant,116204.7
Victim/Witness Investigator 1,96311.02
Administrative Analyst,60555.27
Special Nurse,36652.18
Transit Operator,39671.75
Attorney (Civil/Criminal),227368.63
Senior Administrative Analyst,71848.87
Police Officer 3,168010.39
Nursing Supervisor,286737.74
Utility Plumber,142264.67
Sergeant 3,191093.83
Museum Guard,20518.48
Custodian,92809.13
General Laborer,88182.41
Transit Operator,108691.45
Asst Engr,46871.69
Architect,189097.51
Asst Engr,30046.77
Eligibility Worker Supervisor,114354.45
Police Officer,139886.88
Transit Operator,146204.51
Sr Fare Collections Receiver,117197.57
Transit Operator,116953.47
Senior Account Clerk,42889.35
Special Nurse,88784.21
Secretary 2,100767.86
Police Officer 2,157789.36
Health Care Billing Clerk 2,112891.43
Wire Rope Cable Maint Mechanic,196138.34
Painter,56500.4
Registered Nurse,167206.44
Eng/Arch/Landscape Arch Sr,215684.42
Patient Care Assistant,103037.23
Public Service Trainee,18521.06
Pr Administrative Analyst,144258.68
Nurse Manager,22082.76
Licensed Vocational Nurse,88423.0
Parking Control Officer,86446.19
Registered Nurse,110216.6
Police Officer 3,199762.04
Attorney (Civil/Criminal),157365.87
Custodian,92222.38
Clerk Typist,97782.97
Protective Services Worker,140504.64
Senior Clerk,76888.81
Supv Bldg Grounds Patrol Ofcr,105445.8
Electrician,74846.35
Physician Specialist,88374.41
Recreation Leader,19034.8
Police Officer,119268.51
Carpenter,137321.97
IS Engineer-Principal,205454.12
Public Svc Aide-Public Works,28454.73
IT Operations Support Admn III,45511.71
Transit Operator,115905.32
Transit Operator,76010.74
Police Officer 3,185481.84
Deputy Court Clerk I,69886.07
General Laborer,103277.92
"Station Agent, Muni Railway",121902.61
Recreation Leader,18147.02
"Member, Board Of Supervisors",162275.44
"Marriage, Family & Child Cnslr",121260.93
IS Engineer-Journey,172576.0
Custodian,90313.93
Sewer Service Worker,149667.16
General Laborer,45976.53
Transit Supervisor,40220.55
Health Worker 2,94484.31
Transit Operator,126027.41
Patient Care Assistant,137630.52
Parking Control Officer,97710.22
Registered Nurse,206016.61
Junior Clerk,68181.19
Court Reporter,168525.86
Engineering Associate 2,148677.3
Police Officer,209422.5
IS Business Analyst-Principal,100334.46
Administrative Services Mgr,118482.45
Patient Care Assistant,105445.41
Firefighter,207799.59
Food Service Worker,42317.94
Registered Nurse,194113.2
Patient Care Assistant,82942.12
Pr Administrative Analyst,138306.98
Housekeeper/Food Service Clnr,79911.15
Account Clerk,80070.58
"Stdntdsgntrain1, Arch/Eng/Plng",18226.06
Investigator/Transit Fare Supv,109953.52
Planner 3,148922.14
Pr Administrative Analyst,142458.69
Senior Clerk Typist,92367.76
Asr-Office Assistant,42028.58
Park Patrol Officer,18189.99
Police Officer 2,164524.09
Police Officer 3,211261.1
Senior Parking Control Officer,133073.58
Police Officer,182279.54
General Laborer,83988.54
Senior Eligibility Worker,84346.97
Planner 3-Environmental Review,132954.52
Health Worker 2,84888.58
Stationary Engineer,147880.47
Police Officer 3,188671.89
Legal Secretary 1,114259.89
Porter,93657.6
Deputy Sheriff,186608.42
Sergeant 2,189831.88
HSA Social Worker,114771.59
Deputy Court Clerk III,131236.5
Account Clerk,87066.95
PS Aide To Prof,40539.6
Media Production Supv,74126.58
Food Service Worker,76384.92
Police Officer 3,232760.1
Senior Eligibility Worker,15222.23
Special Nurse,30253.86
Attorney (Civil/Criminal),222015.57
Sergeant 3,199822.61
Truck Driver,116515.53
Sheriff's Cadet,71989.84
Track Maintenance Worker,30857.67
Deputy Probation Officer SFERS,49919.9
Parking Control Officer,71290.74
Farmer,63874.39
Parking Control Officer,44475.49
IS Project Director,184915.11
Water Quality Tech III,126859.4
Assistant Storekeeper,73651.57
Transit Operator,120202.4
Anesthetist,294534.28
"Lieutenant, Fire Suppression",242166.27
Registered Nurse,244427.94
Transit Operator,111198.32
Transit Operator,118422.55
HSA Social Worker,113707.01
Painter,121242.27
Automotive Mechanic,133228.95
Chief Clerk,122617.31
Sheriff's Cadet,95380.32
Deputy Sheriff,78213.61
Hospital Eligiblity Worker,112334.12
Sprv Clincal Psychologist,166657.75
Landscape Architect Assoc 1,141416.23
Senior Clerk,74199.01
Pr Administrative Analyst,158109.3
Transit Operator,94667.21
Porter,91827.2
Administrative Analyst,64357.71
Police Officer 2,178089.09
Special Nurse,144925.67
Custodian,88694.78
Transit Operator,48703.32
Electronic Maintenance Tech,97690.62
Carpenter,89042.32
Transit Operator,26895.37
Employment & Training Spec 5,143562.93
Transit Operator,79889.81
Police Officer 3,160557.96
Clinical Psychologist,87798.68
Sergeant 3,181982.96
Recreation Leader,17494.03
Secretary 2,100916.27
Manager III,197352.33
Sergeant 3,49672.81
Legal Secretary 1,114816.24
"Manager II, MTA",125658.02
Automotive Service Worker,149621.3
Management Assistant,115960.33
District Attry's Investigator,156998.21
Senior Account Clerk,99820.74
Home Health Aide,99602.59
Senior Administrative Analyst,57869.31
Public Service Trainee,30441.46
Planner 3-Environmental Review,120936.38
Patient Care Assistant,80139.09
Patient Care Assistant,25364.57
Senior Personnel Analyst,150274.85
Attorney (Civil/Criminal),155762.69
Sr Psychiatric Social Worker,138729.7
Truck Driver,59628.29
Transit Operator,116903.13
Police Officer,160544.86
Psychiatric Social Worker,118425.32
Police Officer 3,178678.3
"Manager II, MTA",123770.12
Registered Nurse,111842.55
Senior Eligibility Worker,134046.58
Management Assistant,116534.05
Gardener,100587.78
Public Svc Aide-Public Works,61429.74
Senior Administrative Analyst,44366.31
Registered Nurse,201024.65
Licensed Vocational Nurse,23771.32
Carpenter,135764.17
Deputy Sheriff,164361.43
Special Nurse,87362.96
Licensed Vocational Nurse,146709.87
Health Worker 3,86516.52
Senior Clerk Typist,95535.39
Emp & Training Spec 2,120039.29
Cashier 2,30675.97
Senior Clerk,91477.58
Assoc Engineer,52237.29
Parking Control Officer,72276.77
Deputy Sheriff,167110.57
Transit Operator,121000.47
Sergeant 2,278009.68
Health Program Coordinator 1,59146.39
Transit Operator,21314.16
Custodian,17155.23
Secretary 1,93907.43
Pr Administrative Analyst,163936.4
Senior Eligibility Worker,75124.37
Accountant III,97395.84
Transit Operator,112539.34
Porter,87289.57
Deputy Sheriff,179772.06
Storekeeper,79589.79
Administrative Analyst,125809.91
Transit Operator,113582.09
Senior Physician Specialist,293550.97
Pr Personal Property Auditor,163672.3
Accountant III,111872.94
Special Nurse,15415.14
Parking Control Officer,60007.27
Engineer,28638.86
Medical Evaluations Assistant,61549.04
Supervising Pharmacist,222664.1
Senior Clerk Typist,92753.59
Senior Stationary Engineer,35853.53
Nurse Practitioner,37341.82
Senior Administrative Analyst,105867.84
Custodian,60898.73
Car And Auto Painter,146926.88
Sheriff's Lieutenant,204072.12
Automotive Service Worker,125282.85
Transit Operator,123881.17
Custodian,87840.62
Registered Nurse,190234.45
Public Svc Aide-Public Works,21812.23
Police Officer 3,45798.75
Senior Account Clerk,51038.06
General Laborer,96169.14
"Manager III, MTA",201960.88
Senior Eligibility Worker,141353.81
Medical Evaluations Assistant,82957.5
Manager I,140702.03
Transit Supervisor,189537.85
Library Assistant,70605.63
Program Specialist,125506.73
Transit Operator,108836.87
IS Business Analyst,137262.69
Parking Control Officer,97568.98
"Lieutenant, Fire Suppression",234835.97
Public Svc Aide-Public Works,37981.59
Nutritionist,66654.62
Maintenance Planner,156336.6
Clerk,32766.46
Health Worker 2,73038.74
IT Operations Support Admin IV,155016.04
Recreation Leader,25236.52
Porter,88538.86
Police Officer 3,204562.98
Senior Power House Operator,171595.51
Customer Service Agent Trainee,19710.91
"Stationary Eng, Sewage Plant",134707.98
Personnel Analyst,84754.01
Junior Management Assistant,102483.15
Accountant II,101692.88
Sergeant 3,196621.64
Electrical Transit System Mech,132366.83
Transit Operator,114454.12
Special Nurse,93649.91
Recreation Specialist,25077.72
Senior Administrative Analyst,143795.61
Transit Operations Specialist,38831.54
Principal Clerk,93906.57
EMT/Paramedic/Firefighter,75410.73
EMT/Paramedic/Firefighter,142496.31
Senior Stationary Engineer,20748.13
Architectural Associate 2,205134.16
Mayoral Staff XI,137375.94
Registered Nurse,202126.87
Management Assistant,103919.44
Sr Community Dev Spec 2,157470.3
Electronic Maintenance Tech,197874.42
Transit Operator,120234.05
Registered Nurse,84253.81
General Laborer Supervisor 1,111688.86
Community Development Spec,119253.53
Museum Guard,28639.56
Asst Materials Coordinator,137666.09
IS Business Analyst,35009.13
Gardener,100344.05
Nurses Staffing Assistant,106448.1
Librarian 1,59218.41
Sergeant 3,209677.57
Senior Eligibility Worker,113670.11
Electrician,173676.97
Senior Account Clerk,99126.91
Transit Operator,72349.38
Protective Services Worker,170091.63
Deputy Sheriff,158770.33
Sergeant 3,269452.46
Sr Fare Collections Receiver,115285.04
Parking Control Officer,52113.93
Health Worker 2,93648.07
Accountant III,138624.28
Firefighter,189495.18
Lieutenant 3,221990.9
Shelter Veterinarian,87681.2
Senior Collections Officer,111193.38
Custodian,92475.4
Medical Evaluations Assistant,81043.41
Transit Manager 2,166118.68
Street Environ Svcs Oprs Supv,157450.7
Clerk,81546.11
Recreation Coordinator,94998.15
Automotive Mechanic,178772.37
Transit Operator,104055.01
"Property Manager, Port",142095.59
Transit Operator,118504.46
Engineering Assistant,71674.82
Senior Unit Clerk,101126.34
Public Svc Aide-Public Works,27417.94
Legislative Assistant,142426.97
Transit Operator,118080.96
Senior Benefits Analyst,127165.18
Stationary Engineer,21351.4
Transit Operator,67963.66
Piledriver Engine Operator,75226.38
Deputy Court Clerk III,78445.39
Plumber,148550.26
Administrative Analyst,16289.08
Custodian,89610.83
Asr Senior Office Specialist,104096.02
Transit Operator,65913.28
Transit Operator,26142.88
Registered Nurse,171933.21
Patient Care Assistant,80675.87
Construction Inspector,51207.86
Secretary 2,101671.41
Building Inspector,164124.56
Microphoto/Imaging Technician,69723.97
Clerk,71416.58
Senior Eligibility Worker,111773.14
Transit Operator,123231.27
Food Service Worker,58650.17
Transit Operator,125162.24
Nurse Manager,277658.97
Deputy Sheriff,156924.1
Auto Machinist Asst Sprv,159116.09
Protective Services Supervisor,167284.43
Attorney (Civil/Criminal),172584.13
Psychiatric Social Worker,134317.85
"Stdntdsgntrain3, Arch/Eng/Plng",33333.3
Child Support Officer II,81238.36
Senior Eligibility Worker,112461.27
Protective Services Worker,138657.95
IS Project Director,90848.26
General Laborer,92963.72
Sr Payroll & Personnel Clerk,110548.4
"Invstgtor,Fire Dept",257361.05
Medical Evaluations Assistant,101318.9
Firefighter,185873.76
Transit Supervisor,105175.73
Senior Eligibility Worker,116788.36
Deputy Sheriff,157881.64
General Laborer,16345.65
Special Nurse,32911.22
Custodian,89576.49
Transit Operator,128193.62
IS Business Analyst,106247.51
Plumber,145160.53
Gardener,89670.48
Sheriff's Cadet,38600.41
Nursing Supervisor,278577.92
Special Nurse,19468.47
Senior Clerk Typist,94783.97
Senior Eligibility Worker,115256.26
Truck Driver,142623.08
